68	56	51	56	60	39	1
67	54	49	50	57	38	1
64	52	51	56	62	42	1
67	56	48	59	53	37	1
66	56	45	48	40	29	1
63	51	47	60	51	34	1
62	49	45	58	47	30	1
61	49	44	57	42	27	1
60	50	45	55	42	27	1
60	48	42	55	41	23	1
61	49	47	55	49	26	1
61	48	44	56	42	26	1
61	49	46	57	44	29	1
61	48	44	58	41	26	1
61	48	45	57	41	24	1
59	48	43	52	38	23	1
62	48	44	57	44	29	1
62	50	47	57	47	28	1
62	49	47	58	45	28	1
65	54	49	55	52	36	1
66	53	49	59	52	35	1
64	52	49	60	54	37	1
62	49	49	51	46	32	1
61	48	44	42	35	24	1
61	48	46	50	43	29	1
61	48	46	50	41	26	1
61	48	44	43	35	27	1
62	50	47	54	43	29	1
60	49	47	44	40	26	1
62	52	47	51	43	28	1
63	50	47	49	43	27	1
62	51	48	55	42	27	1
61	51	49	57	42	28	1
61	51	48	56	50	31	1
61	50	48	51	44	28	1
61	50	48	58	48	32	1
62	51	48	59	48	30	1
62	49	45	45	30	20	1
65	53	50	56	46	29	1
64	52	48	57	40	22	1
62	51	48	52	36	23	1
60	49	47	43	33	21	1
58	49	44	40	32	22	1
59	48	45	37	32	23	1
62	48	45	37	31	22	1
60	50	45	37	31	21	1
61	49	46	38	31	22	1
62	48	45	38	30	21	1
60	47	45	37	31	22	1
61	47	44	37	30	22	1
60	47	45	38	30	22	1
61	47	44	37	30	21	1
59	47	44	38	30	22	1
61	47	44	46	34	24	1
61	46	43	38	30	21	1
61	48	47	38	29	23	1
62	49	46	37	31	20	1
61	48	43	39	31	22	1
60	48	44	37	33	24	1
61	48	44	36	31	23	1
61	48	44	38	32	23	1
61	47	45	37	32	23	1
61	47	43	36	30	24	1
61	47	45	39	31	21	1
63	49	45	38	30	21	1
60	48	44	42	32	22	1
61	48	45	37	30	22	1
61	49	45	42	33	23	1
61	49	44	39	31	21	1
61	48	47	37	29	21	1
61	48	46	38	34	23	1
61	48	45	38	33	22	1
61	49	45	41	32	23	1
62	48	46	40	32	22	1
62	48	45	38	33	22	1
61	49	44	38	32	23	1
76	72	77	53	17	13	1
78	71	79	53	17	13	1
77	71	79	52	17	14	1
76	72	78	53	17	13	1
77	72	77	54	16	14	1
77	71	78	53	17	14	1
77	71	79	53	17	13	1
77	71	79	52	17	14	1
77	71	79	53	17	14	1
77	71	79	53	17	13	1
76	71	79	52	17	13	1
78	72	77	54	16	14	1
76	70	73	41	17	13	1
77	70	75	41	17	13	1
77	70	72	40	17	14	1
76	69	75	46	16	13	1
76	70	75	46	16	14	1
76	71	77	46	16	14	1
76	70	69	49	17	14	1
76	70	75	49	17	13	1
76	70	75	49	16	14	1
76	70	79	49	17	14	1
77	70	72	43	16	14	1
76	71	76	43	17	13	1
76	70	77	51	17	13	1
78	69	80	51	17	14	1
77	70	76	51	17	14	1
76	71	76	44	17	13	1
79	70	73	39	16	11	1
77	70	79	38	16	14	1
75	66	72	56	25	18	1
74	66	71	57	26	17	1
75	66	72	58	24	18	1
72	66	72	58	24	18	1
73	67	74	59	24	19	1
75	68	73	56	26	19	1
74	67	72	56	26	17	1
76	66	73	57	25	18	1
74	66	73	56	24	19	1
74	67	72	56	26	18	1
74	67	74	57	25	17	1
76	67	75	56	26	17	1
74	67	73	56	25	18	1
75	68	74	57	26	17	1
73	67	74	56	26	17	1
75	68	73	57	25	18	1
75	69	77	40	19	15	1
76	70	76	51	19	15	1
77	69	76	41	18	14	1
76	68	76	47	18	14	1
77	69	69	50	19	15	1
77	69	77	49	18	15	1
76	69	75	48	18	14	1
76	70	79	51	18	15	1
77	69	69	49	18	15	1
74	71	75	49	19	15	1
76	70	75	41	18	14	1
77	68	75	48	19	14	1
79	68	75	53	18	14	1
75	70	75	51	19	14	1
75	69	75	51	19	13	1
74	69	75	51	19	14	1
75	68	74	52	19	14	1
76	69	75	52	18	14	1
77	69	75	52	18	15	1
74	68	75	51	19	14	1
76	69	76	51	18	13	1
76	69	76	50	19	14	1
76	70	75	50	18	14	1
77	69	75	50	19	14	1
77	70	76	48	18	13	1
77	68	76	49	19	14	1
77	71	79	47	18	13	1
77	69	77	52	18	16	1
76	69	75	53	18	14	1
76	70	75	52	18	15	1
76	69	75	52	18	15	1
77	69	77	52	18	14	1
76	69	79	51	18	17	1
77	69	77	52	19	14	1
76	70	76	52	18	13	1
75	69	76	51	18	15	1
75	68	65	50	18	16	1
76	69	71	50	18	14	1
75	68	70	36	18	15	1
75	67	66	32	18	14	1
74	67	63	31	18	14	1
75	66	69	32	19	14	1
76	67	64	36	19	14	1
75	67	69	33	17	14	1
74	69	73	48	19	15	1
74	68	73	48	19	14	1
74	69	76	48	19	14	1
76	68	77	48	19	15	1
75	69	76	49	19	15	1
75	69	76	48	19	15	1
74	69	76	48	19	14	1
74	69	73	48	19	14	1
74	69	74	48	19	15	1
75	69	76	49	19	15	1
75	69	74	49	19	15	1
75	69	74	49	19	14	1
75	69	75	49	19	14	1
75	69	76	48	19	15	1
76	69	76	50	19	15	1
57	43	39	35	30	20	1
58	43	40	35	30	20	1
59	45	42	35	31	20	1
56	43	40	35	30	20	1
61	41	40	35	29	19	1
59	45	42	35	29	21	1
57	43	37	32	26	18	1
58	42	39	32	26	18	1
58	43	36	32	26	18	1
58	43	37	32	25	19	1
58	42	39	33	27	19	1
57	43	37	33	26	19	1
58	44	37	35	27	19	1
58	42	38	34	28	19	1
59	43	38	34	28	20	1
58	42	38	31	26	18	1
58	42	37	31	27	17	1
58	43	37	32	26	19	1
58	42	37	31	28	18	1
57	42	36	26	20	15	1
58	41	35	26	21	15	1
57	42	35	27	20	16	1
57	42	35	27	21	15	1
58	41	35	27	21	16	1
60	41	36	27	21	15	1
58	41	36	27	21	14	1
59	42	36	26	20	16	1
58	42	34	27	21	14	1
59	42	36	26	21	15	1
59	42	36	27	21	16	1
59	42	34	27	21	14	1
60	42	34	27	21	15	1
58	42	35	27	20	14	1
58	42	35	27	21	15	1
59	41	38	26	21	15	1
58	41	36	27	20	16	1
57	41	34	28	20	16	1
58	42	35	27	21	15	1
59	41	35	27	21	15	1
58	43	35	28	20	15	1
58	41	36	27	21	14	1
56	42	40	37	29	18	1
56	42	37	36	27	20	1
57	44	41	36	26	14	1
58	42	39	35	28	19	1
58	43	39	35	26	18	1
57	43	37	37	28	17	1
57	43	35	33	26	17	1
58	42	39	33	27	19	1
57	42	36	33	27	18	1
57	42	38	33	27	18	1
58	43	38	33	29	18	1
57	41	40	33	28	21	1
58	43	36	33	28	18	1
58	42	41	33	28	18	1
58	43	40	34	28	19	1
57	42	38	34	28	18	1
57	42	37	34	27	20	1
56	43	38	34	28	18	1
58	43	39	37	30	19	1
55	43	40	36	28	18	1
57	44	41	37	29	19	1
57	43	41	36	29	19	1
70	57	59	37	28	19	1
70	58	60	37	28	18	1
68	58	59	37	26	19	1
